"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Mets","669","345","6","21","17","0","3.2%","40.0%",".073",".269",".166",".198",".239",".190","15","-0.1","-38.7","42.4","1.4"
"Dodgers","709","365","2","17","17","0","3.6%","32.9%",".043",".254",".157",".192",".201",".174","5","-0.1","-45.9","44.9","1.0"
"Pirates","731","311","1","20","15","0","3.5%","36.3%",".030",".265",".157",".192",".187",".169","2","-0.1","-40.7","38.2","0.7"
"Brewers","760","296","2","12","14","0","3.0%","49.7%",".051",".285",".136",".164",".188",".154","-13","-0.1","-44.7","36.4","0.1"
"Cardinals","708","314","0","16","13","1","1.9%","39.5%",".029",".250",".139",".159",".168",".144","-16","-0.3","-48.7","38.6","0.0"
"Cubs","739","347","1","12","23","0","3.7%","41.2%",".033",".230",".127",".167",".160",".148","-17","-0.1","-54.1","42.6","0.0"
"Giants","757","292","2","8","8","0","4.5%","55.1%",".035",".268",".108",".153",".142",".136","-18","-0.1","-46.1","35.9","-0.1"
"Phillies","723","308","1","16","11","0","4.5%","45.5%",".026",".254",".125",".168",".151",".146","-18","-0.1","-48.2","34.7","-0.3"
"Diamondbacks","718","330","5","21","23","1","2.1%","43.9%",".071",".190",".111",".132",".182",".135","-26","0.1","-55.3","40.6","-0.4"
"Nationals","694","349","1","20","18","2","2.6%","38.7%",".016",".229",".132",".156",".148",".136","-26","0.3","-58.3","42.9","-0.4"
"Rockies","758","320","0","16","22","0","4.1%","40.3%",".023",".265",".136",".176",".158",".152","-26","-0.1","-53.8","39.3","-0.4"
"Padres","703","283","0","10","8","0","1.8%","45.2%",".016",".246",".118",".139",".134",".122","-30","-0.5","-49.4","34.8","-0.5"
"Marlins","706","291","0","9","11","0","2.1%","52.6%",".019",".262",".108",".134",".127",".118","-31","-0.1","-50.8","35.8","-0.5"
"Reds","731","359","2","19","13","5","2.8%","42.6%",".040",".247",".134",".160",".174",".148","-20","0.0","-56.9","37.8","-0.7"
"Braves","745","340","0","16","14","0","2.4%","46.8%",".020",".208",".101",".129",".121",".113","-39","-0.1","-63.3","41.8","-1.0"
